,name,rating,ingredients
20,"
so natural - Red Peel Tingle Serum
",91.7% customers satisfied|78 reviews,"Water, Hydrogenated Poly(C6-14 Olefin), Triethylhexanoin, Isododecane, Trilaureth-4 Phosphate, Pentaerythrityl Tetraisostearate, Butylene Glycol, Cetyl Phosphate, Neopentyl Glycol Diheptanoate, Panthenol, Cetyl Alcohol, Arginine, 1,2-Hexanediol, Chlorphenesin, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Glycerin, Fragrance, Citrus Paradisi (Grapefruit) Fruit Extract, Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Sodium Hyaluronate, Betaine, Coccinia Indica (Ivy Gourd) Fruit Extract, Corallina Officinalis Extract, Acorus Calamus (Sweet Flag) Root Extract, Perilla Ocymoides (Beefsteak Plant) Leaf Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Centella Asiatica (Gotu Kola) Extract, Rubus Chamaemorus (Cloudberry) Seed Extract, Panax Ginseng Berry Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vigna Angularis Seed Extract, Lactobacillus Ferment

More"
21,"
CNP Laboratory - Anti-Pore Black Head Clear Kit
",92.8% customers satisfied|59 reviews,"[Step 1: Blackhead Clear Mask]
Water, Hamamelis Virginiana (Witch Hazel) Water, 1,2-Hexanediol, Butylene Glycol, Salvia Officinalis (Sage) Leaf Extract, Melissa Officinalis (Lemon Balm) Leaf Extract, Arctium Majus (Burdock) Root Extract, Mentha Piperita (Peppermint) Leaf Extract, Juniperus Communis (Juniper) Fruit Extract, Viscum Album (Mistletoe) Leaf Extract, Saponaria Officinalis (Soapwort) Extract, Hypericum Perforatum (St. John's Wort) Extract, PEG-8, Potassium Hydroxide, PEG-8/SMDI Copolymer, Punica Granatum (Pomegranate) Extract, Ficus Carica (Fig) Fruit Extract, Codonopsis Lanceolata Root Extract, Piper Methysticum Leaf/Root/Stem Extract
[Step 2 :Pore Tightening Mask]
Water, Butylene Glycol, 1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Diethoxyethyl Succinate, Zinc PCA, PEG-60 Almond Glycerides, Caprylyl Glycol, Hamamelis Virginiana (Witch Hazel) Extract, Potassium Alum, Arginine, Glycerin, Sodium Hyaluronate, Carbomer, Nordihydroguaiaretic Acid, Oleanolic Acid

More"
22,"
Dear, Klairs - Gentle Black Sugar Facial Polish
",98.9% customers satisfied|196 reviews,"Caprylic/Capric Triglyceride, Sucrose, Cetyl Ethylhexanoate, Glycerin, Butyrospermum Parkii (Shea) Butter, Tocopheryl Acetate, Candelilla Cera, PEG-7 Glyceryl Cocoate, Polysorbate 20, Microcrystalline Wax, Cetyl Alcohol, Molasses, Glycyrrhiza Glabra (Licorice) Root Powder, Parfum(Fragrance), Carapa Guaianensis Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Limonene

More"
23,"
Cure - Natural Aqua Gel
",97.8% customers satisfied|674 reviews,"Water · Glycerine · Crosspolymer · Dicocodimonium chloride · Stearicrimonium bromide · Aloe vera leaf extract · Gingko leaf extract · Rosemary leaf extract · Butylene glycol · isopropanol

More"
24,"
Etude House - Baking Powder Pore Cleansing Foam 160ml
",97.7% customers satisfied|238 reviews,"Glycerin, Water, Stearic Acid, PEG-32, Potassium Hydroxide, Microcrystalline Cellulose, Lauric Acid, Cocamidopropyl Betaine, Glyceryl Stearate, Sodium Bicarbonate (0.1%), Disodium EDTA, Silica, Polyquaternium-7, PEG-100 Stearate, PEG-7 Glyceryl Cocoate, Sodium Benzoate, Fragrance

More"
25,"
I'm from - Fig Scrub Mask
",100% customers satisfied|48 reviews,"Caprylic/Capric Triglyceride, Sucrose, PEG-7 Glyceryl Cocoate , Stearalkonium Hectorite, C13-15 Alkane, Ficus Carica (Fig) Fruit Powder, Euphorbia Cerifera (Candelilla) Wax, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Fragrance(Parfum), Juglans Regia (Walnut) Shell Powder, Caprylyl Glycol, Caramel

More"
26,"
NEOGEN - Dermalogy Bio-Peel Gauze Peeling Green Tea (Original Version) 200ml
",98.3% customers satisfied|62 reviews,"Water, Camellia Sinensis (Green Tea) Leaf Water (5%), Dipropylene Glycol, 1,2-Hexanediol, Camellia Sinensis (Green Tea) Leaf Extract (100ppm), Gardenia Jasminoides (Gardenia) Fruit Extract, Centella Asiatica (Gotu Kola) Extract, Hyaluronic Acid, Houttuynia Cordata Extract, Hydrolyzed Hyaluronic Acid, Artemisia Vulgaris (Mugwort) Extract, Sodium Hyaluronate, Lactobionic Acid, Glyceryl Caprylate, Gluconolactone, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Coptis Japonica Extract, Octyldodeceth-16, Butylene Glycol, Ethylhexylglycerin, Tromethamine, Carbomer, Disodium EDTA, Limonene

More"
27,"
Aritaum - Ginger Sugar Lip Scrub
",93% customers satisfied|216 reviews,"Petrolatum, Diisostearyl Malate, Sucrose, Microcrystalline Wax, Mineral Oil, Juglans Regia (Walnut) Shell Powder, Caprylyl Glycol, Ethylhexylglycerin, Tropolone, Citrus Aurantium Dulcis (Orange) Peel Oil, Butyrospermum Parkii (Shea) Butter, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Jojoba Esters, Tocopheryl Acetate, Zingiber Officinale (Ginger) Root Oil, Hippophae Rhamnoides (Sea Buckthorn) Oil

More"
28,"
Elizavecca - Hell Pore Clean Up Mask 100ml
",84.2% customers satisfied|822 reviews,"Water, PVP, Alcohol, Polyvinyl Alcohol, Charcoal Powder, Titanium Dioxide (CI 77891), Salicornia Herbacea Extract, Rhus Semialata Extract, Diospyros Kaki Leaf Extract, Prunus Serrulata Flower Extract, Nelumbium Speciosum (Sacred Lotus) Extract, Camellia Japonica Flower Extract, Cosmos Bipinnatus Callus Culture Extract, Nymphaea Alba (White Water Lily) Flower Extract, Rosa Hybrid Flower Extract, Saccharomyces/Caragana Sinica Root Ferment Extract, PEG-60 Hydrogenated Castor Oil, 1,2-Hexanediol, Caprylyl Glycol, Butylene Glycol, Illicium Verum (Anise) Fruit Extract, Aluminum Hydroxide, Silica, Methyl Acetate, Lithium Magnesium Sodium Silicate, Tetrasodium Pyrophosphate, Fragrance

More"
29,"
NEOGEN - Dermalogy Bio-Peel Gauze Peeling Lemon (Original Version) 200ml
",96.6% customers satisfied|153 reviews,"Water, Dipropylene Glycol, Citrus Limon (Lemon) Fruit Water (5%), Glycerin, 1,2-Hexanediol, Citrus Limon (Lemon) Fruit Extract (100ppm), Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Unshiu (Satsuma Mandarin) Peel Extract, Carica Papaya (Papaya) Fruit Extract, Cymbopogon Schoenanthus (Lemongrass) Extract, Melissa Officinalis (Lemon Balm) Leaf Extract, Coptis Japonica Root Extract, Carthamus Tinctorius (Safflower) Flower Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Lactobionic Acid, Glyceryl Caprylate, Gluconolactone, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Octyldodeceth-16, Butylene Glycol, Ethylhexylglycerin, Tromethamine, Carbomer, Disodium EDTA

More"
